"term","frequency","presence","doc_size_sum","type"
"the","43698905",1476272,"4554754186","G"
"to","20721405",1458108,"4543413255","G"
"and","17921086",1456522,"4539929249","G"
"of","18351546",1448083,"4536743076","G"
"a","18426047",1447929,"4536604600","G"
"in","16184227",1436622,"4528870385","G"
"on","7373904",1366127,"4417889993","G"
"for","7614535",1339869,"4393633489","G"
"s","9370205",1308804,"4319442290","G"
"is","6934908",1247092,"4229887339","G"
"with","5384731",1241901,"4224887312","G"
"that","7517580",1218634,"4195925987","G"
"at","4547768",1159892,"4054017012","G"
"by","3678842",1136166,"3972934333","G"
"it","5614421",1122859,"4015011477","G"
"as","4473554",1115707,"4025073620","G"
"from","3533645",1109783,"3966912371","G"
"was","4800578",1061615,"3766485776","G"
"be","3642083",1054261,"3833581671","G"
"has","3635557",1052918,"3772989852","G"
"an","2903582",1018046,"3778642120","G"
"this","3009587",1008192,"3675583784","G"
"have","3431021",1003841,"3746315117","G"
"are","3363462",986884,"3632952355","G"
"not","2653037",947223,"3509746114","G"
"said","4110456",937489,"3176599800","G"
"but","2847471",919460,"3553055828","G"
"will","2715169",865095,"3195892404","G"
"he","4345084",852781,"3195123468","G"
"who","2114083",810447,"3164885469","G"
"been","1825985",807338,"3110916478","G"
"after","1779442",786208,"3007034040","G"
"their","2014765",760363,"3042293465","G"
"one","1769615",760268,"3113036091","G"
"which","1573187",758465,"2980603529","G"
"they","2368945",757247,"3082567854","G"
"his","3316788",756786,"2910312934","G"
"up","1679909",755194,"3018693483","G"
"also","1451948",751759,"2906514299","G"
"more","1819509",744092,"3047315904","G"
"all","1540148",739918,"2921029013","G"
"about","1739090",731358,"2946344210","G"
"or","1904786",729241,"2955955236","G"
"we","2449676",721330,"2808237494","G"
"out","1477997",704427,"2887308303","G"
"had","1798353",703429,"2758016077","G"
"year","1565506",685282,"2662054723","G"
"were","1638555",677242,"2689644520","G"
"new","1635226",669855,"2647662305","G"
"when","1435030",668300,"2775923861","G"
"t","1968903",662930,"2778076177","G"
"there","1487423",641334,"2750245278","G"
"two","1211760",617863,"2546117369","G"
"you","2500549",615647,"2420227044","G"
"over","1165603",615327,"2577792698","G"
"its","1556168",615243,"2519242264","G"
"can","1397885",606696,"2571432598","G"
"would","1417324",603545,"2535229872","G"
"first","1240323",599053,"2496396639","G"
"time","1127988",595534,"2541911258","G"
"last","1113023",590074,"2371234664","G"
"if","1261635",582808,"2495591234","G"
"other","992563",569461,"2441149927","G"
"than","1121742",568312,"2508210417","G"
"i","3010447",565394,"2357140586","G"
"no","1059886",554819,"2378725036","G"
"into","1022290",553916,"2410999275","G"
"so","1110631",545847,"2407300600","G"
"some","996906",534955,"2368200665","G"
"people","1302205",534039,"2279599783","G"
"what","1125257",527641,"2369596890","G"
"while","784719",495391,"2099881979","G"
"just","945072",494319,"2202736512","G"
"could","910332",494118,"2174208439","G"
"now","841144",490798,"2105498132","G"
"years","913142",482126,"2158594490","G"
"like","950933",479719,"2122264278","G"
"get","822671",471548,"2044719434","G"
"only","747163",460843,"2075091754","G"
"our","969618",456903,"1892467946","G"
"them","828124",449643,"2028646601","G"
"before","718383",447034,"1973114867","G"
"most","737011",435091,"2028972340","G"
"may","781829",432573,"1835343647","G"
"being","678921",428034,"1889200934","G"
"do","779631",421956,"1948570523","G"
"three","699698",407782,"1786103429","G"
"make","631092",405876,"1850048017","G"
"any","652593",405867,"1771223071","G"
"day","734416",403680,"1758864517","G"
"made","608260",401438,"1795328190","G"
"how","726747",397682,"1856634026","G"
"back","632464",397411,"1814387745","G"
"us","1014289",396633,"1667156162","G"
"during","756341",394459,"1709256133","G"
"where","629790",392986,"1814129148","G"
"1","880284",392236,"1585666196","G"
"against","770693",384374,"1648530011","G"
"even","625446",377557,"1809730961","G"
"because","638674",373816,"1749395400","G"
"your","924459",373599,"1446468944","G"
"since","551222",372414,"1650409961","G"
"many","618107",372318,"1790460722","G"
"off","625130",367647,"1642717876","G"
"she","1556891",365765,"1563144473","G"
"him","811957",365057,"1597990235","G"
"her","1624135",362148,"1531851050","G"
"take","535329",360114,"1659783225","G"
"through","557951",358486,"1669706691","G"
"well","536181",358158,"1636245309","G"
"world","725603",355808,"1584578583","G"
"told","560975",355045,"1402941972","G"
"down","555782",350600,"1637452451","G"
"then","563563",349946,"1620458097","G"
"including","473527",348005,"1506695727","G"
"state","872129",347743,"1495234552","G"
"way","537712",344089,"1668215821","G"
"10","589126",342973,"1436930879","G"
"president","785742",336188,"1434569532","N"
"those","539389",335642,"1617730071","G"
"2","754254",333332,"1360773641","G"
"under","509640",331779,"1472862471","G"
"2017","770673",330511,"1103457322","G"
"old","535404",328933,"1382038609","G"
"government","801689",328835,"1384211101","G"
"such","512206",326113,"1498167651","G"
"still","486041",322377,"1562582769","G"
"between","486835",322150,"1470960818","G"
"these","541358",321095,"1539552616","G"
"week","518897",318494,"1368167502","G"
"much","484271",318061,"1561919641","G"
"around","469148",317112,"1446537281","G"
"home","611122",315800,"1346357331","G"
"should","540449",315051,"1455752383","G"
"according","483069",312026,"1234179893","G"
"another","426178",306218,"1457286621","G"
"long","441808",306214,"1486873659","N"
"go","466774",306179,"1458661249","G"
"very","498255",304316,"1430659963","G"
"here","459474",302051,"1315707731","G"
"news","534683",301826,"1159057622","G"
"see","464165",301493,"1433455391","G"
"both","423612",300244,"1393257174","G"
"did","457134",298925,"1403894062","G"
"re","570880",296964,"1373291133","PN"
"high","459468",294025,"1352470820","G"
"say","458139",293957,"1402922872","G"
"says","708240",293692,"1308328056","G"
"next","425996",293437,"1337528902","G"
"part","413561",292148,"1377000898","G"
"going","483184",291890,"1391750456","G"
"work","482630",289720,"1392589108","G"
"3","562388",287949,"1178939614","G"
"don","479829",285818,"1402004175","G"
"good","465941",285179,"1366428145","G"
"5","589568",284486,"1155439261","G"
"four","449440",282739,"1293341476","G"
"right","461896",279103,"1363274727","G"
"country","486674",278803,"1248181914","G"
"000","553174",278117,"1227871709","G"
"my","721364",275938,"1262345360","G"
"top","413745",266788,"1189660533","G"
"come","358585",263338,"1266511777","G"
"m","548577",262740,"1145146458","G"
"set","367722",260093,"1182611312","G"
"former","439308",259638,"1185077566","G"
"end","380457",259198,"1231160679","G"
"need","393562",257251,"1255682242","G"
"know","410516",256953,"1244649572","G"
"national","442127",256765,"1158529998","G"
"help","374915",256414,"1173451324","G"
"five","377182",252781,"1149094627","G"
"2015","462165",251580,"962452009","G"
"4","484933",250901,"1046112306","G"
"want","399660",250670,"1214538603","G"
"same","350751",250323,"1218844849","G"
"second","423291",249496,"1133256428","G"
"best","406263",246053,"1158194562","G"
"called","335136",244782,"1162150994","G"
"think","423822",244725,"1208061906","G"
"public","347359",243609,"1151755379","G"
"today","416024",241021,"1038233636","G"
"left","367441",240361,"1178581580","G"
"times","378823",239549,"1113963977","G"
"team","505652",239468,"999515630","G"
"use","387476",239452,"1118126183","G"
"later","310222",238420,"1035777203","G"
"without","321456",237749,"1109666898","G"
"life","429453",237660,"1154930061","G"
