"term","frequency","presence","doc_size_sum","type"
"thursday","304061",175806,"629678804","G"
"yet","221343",175579,"884111823","G"
"international","253807",174992,"780437749","G"
"didn","258625",174814,"888387959","G"
"something","246632",173784,"900386829","G"
"once","227328",173294,"897850722","G"
"party","427613",173176,"770438353","G"
"known","218136",172867,"843490474","G"
"recent","216029",171669,"826886755","G"
"though","225442",171568,"864085007","G"
"court","448126",170324,"759814361","G"
"taking","207765",170161,"823558721","G"
"must","233794",170033,"779335476","G"
"report","312913",169638,"734619827","G"
"com","316390",169425,"602263852","G"
"less","268586",169353,"909328178","G"
"major","226583",169007,"817615626","G"
"given","213972",168810,"823915894","G"
"become","216917",168678,"863181762","G"
"ago","221557",168671,"835295005","G"
"local","259042",168520,"797164890","G"
"working","223951",168457,"826892349","N"
"hit","233278",168147,"777790218","G"
"having","213015",167852,"826145048","G"
"expected","232199",167705,"724202234","G"
"went","224987",167566,"796831017","G"
"keep","220753",167075,"847833030","G"
"third","243198",166795,"732704930","G"
"change","234655",166177,"841715065","N"
"u.s.","581462",165443,"735064074","PN"
"officials","295286",165318,"719677591","G"
"until","211503",165260,"809706491","G"
"full","226968",165212,"801674156","G"
"9","283659",165195,"712692246","G"
"open","237807",165017,"814302587","G"
"head","231001",164560,"805549213","G"
"south","333088",164209,"757276008","G"
"sunday","306390",163106,"609997784","PN"
"free","265520",162769,"770951479","G"
"american","249923",161611,"810064742","G"
"india","615404",161575,"538156135","PN"
"play","248812",161557,"763392890","G"
"security","328413",161097,"741078652","G"
"using","209889",160854,"729314339","G"
"different","222329",160678,"837489250","G"
"game","492911",160176,"738897977","G"
"statement","234562",160102,"612286005","G"
"always","223410",159719,"812000057","G"
"move","202388",159381,"761718237","G"
"others","202570",159120,"792881893","G"
"reported","225773",158758,"585448865","G"
"along","205712",157471,"761523059","G"
"led","202074",157417,"730282530","G"
"power","279183",157213,"788461663","G"
"director","237432",157136,"711499990","G"
"behind","201059",156801,"785049989","G"
"money","283454",155939,"776558126","G"
"donald","282216",155923,"717350417","PN"
"market","317721",154896,"703649640","G"
"white","309830",154642,"769749125","G"
"members","241749",154393,"733250256","G"
"held","201312",153840,"691197273","G"
"post","246768",153838,"670956056","G"
"able","197619",153771,"758594913","G"
"published","198082",153590,"536882317","G"
"close","196538",153491,"735728495","G"
"getting","197716",153221,"774159277","G"
"looking","195252",152759,"736862068","G"
"comes","190687",152750,"744358831","G"
"political","268435",152463,"759093626","G"
"likely","207559",151699,"738256628","G"
"face","203180",151601,"748813716","G"
"saturday","279518",151399,"561795113","PN"
"area","243568",151130,"670820845","G"
"win","279862",151038,"674542016","G"
"star","266441",150875,"591235829","G"
"story","232666",150585,"697170164","G"
"future","186393",149959,"745363713","N"
"north","364788",149868,"723835599","G"
"ll","231840",149849,"761965418","G"
"50","218597",149841,"680425255","G"
"half","232392",149569,"738880309","N"
"hard","194240",149462,"793534962","G"
"live","207534",149413,"671261783","G"
"further","182823",148945,"651795522","G"
"25","212953",148810,"679793233","G"
"law","292425",148389,"736149709","G"
"share","207911",147159,"602302195","G"
"try","181790",147116,"668594384","G"
"near","212254",147100,"672837802","G"
"press","224251",146832,"644177582","G"
"deal","255546",146796,"704969909","G"
"season","384419",146695,"632578409","G"
"ever","190158",146583,"769407027","G"
"coming","180073",146159,"730832223","G"
"18","220444",146145,"625086832","G"
"donald trump","620165",145837,"663357020","PN"
"late","186582",145821,"718305482","G"
"despite","174649",144888,"713309146","G"
"real","210217",144809,"748822892","G"
"daily","182973",144767,"537147452","N"
"16","225472",144624,"624032871","G"
"am","255174",144504,"566967465","G"
"line","210076",144072,"743104596","G"
"doesn","192740",143748,"767494761","G"
"general","195823",143714,"661856011","G"
"video","272539",143203,"598459701","G"
"enough","188416",143082,"768289030","G"
"washington","315107",142924,"662707304","N"
"within","182342",142785,"704338276","G"
"social","209776",142729,"667869464","G"
"important","187904",141955,"706563017","G"
"system","245808",141750,"697227193","G"
"school","366438",141529,"744030605","G"
"trying","179125",141113,"724790104","G"
"side","213266",141112,"679568920","G"
"latest","193055",140951,"614882506","G"
"leader","221996",140814,"627797155","G"
"started","181745",139948,"668452225","G"
"young","211382",139908,"742355987","G"
"service","248208",139773,"627413851","G"
"due","178496",139602,"587389974","G"
"2014","214807",139360,"621798218","G"
"call","179396",139298,"701470186","N"
"order","215565",139110,"656433569","G"
"done","179044",139080,"712139830","G"
"almost","176152",138390,"757745385","G"
"clear","169071",138038,"682648016","G"
"rights","220446",137944,"565207355","G"
"100","191747",137309,"655277855","G"
"department","261302",137307,"598611249","G"
"small","191332",137253,"724963624","G"
"health","310730",137134,"662328978","G"
"doing","176900",136806,"712572678","G"
"women","359948",136247,"664885558","G"
"decision","199689",136146,"632856792","G"
"announced","175405",135531,"549191046","G"
"children","284550",135362,"692758970","G"
"twitter","231816",134981,"519026379","G"
"continue","169931",134830,"632423646","G"
"final","214619",134201,"626633230","G"
"lead","176908",133764,"635142495","N"
"campaign","257055",133406,"642285477","N"
"lost","183046",133092,"654141299","G"
"plan","229808",133078,"686647081","G"
"17","208999",132864,"574400265","G"
"co","194947",132829,"572571160","G"
"west","249319",132767,"637879739","N"
"name","186830",132668,"623473919","G"
"14","207301",132252,"585731996","G"
"seven","172894",131562,"623096703","G"
"services","222896",131317,"571714706","G"
"official","185834",131168,"558524604","G"
"issue","190573",131094,"612767207","G"
"thing","173555",130990,"705380275","G"
"recently","155518",130989,"597207927","G"
"prime","216062",130798,"557350292","N"
"january","197651",130672,"515422167","PN"
"action","185707",130652,"602411242","G"
"policy","224142",130584,"628281186","G"
"ahead","162717",130176,"603933125","G"
"13","206476",130056,"590276984","G"
"percent","407304",129677,"566213758","G"
"outside","189827",129484,"677695431","G"
"person","190189",129301,"633639101","G"
"nearly","163126",129294,"655582912","G"
"together","176399",129102,"653039004","G"
"hours","184907",128806,"613710702","G"
"university","242189",128489,"636566776","G"
"possible","160268",128445,"620514757","G"
"pay","195999",128430,"651494982","G"
"death","233210",127154,"604572974","G"
"let","165622",127067,"658987647","G"
"community","217518",126587,"643260023","G"
"plans","167182",126458,"606739045","N"
"morning","179196",126051,"576489201","G"
"senior","169275",125980,"561655181","G"
"large","164256",125324,"626726855","G"
"front","175636",125241,"622854567","G"
"role","176838",124952,"603255543","N"
"weeks","162335",124911,"622596643","G"
"john","198471",124883,"647734563","G"
"reports","170197",124702,"486646513","N"
"believe","160342",124385,"623481547","G"
"meeting","208416",124170,"549682675","G"
"sure","152683",123849,"600621387","G"
"often","163081",123502,"689958146","G"
"level","159366",123468,"605684273","N"
"york","228088",122975,"579393076","G"
"released","164557",122827,"521427267","G"
"election","259759",122452,"576682338","G"
"fact","155450",122055,"640036212","G"
"soon","148349",121937,"595755808","G"
"strong","158558",121800,"584087392","G"
"series","227071",121443,"575143636","G"
"makes","150779",121192,"643460468","G"
"online","156466",121024,"507778188","G"
"key","152938",120922,"600419627","G"
"men","219971",120774,"600457662","G"
"history","175697",120192,"667560902","G"
"attack","277785",119891,"555639457","N"
"comments","247029",119502,"414428607","G"
"job","180420",119429,"628560658","G"
"woman","220329",119311,"574142068","G"
"current","153906",119118,"563037785","G"
"agency","187112",118656,"482634961","N"
"whose","141089",118654,"582012639","G"
"24","185598",118343,"509557781","G"
"provide","148608",117386,"519344406","G"
"shows","156392",116805,"568033633","G"
"biggest","148535",116430,"584046380","G"
"killed","208070",116185,"507371772","G"
"nation","167062",116178,"594093232","N"
"foreign","185272",115952,"527841594","N"
"center","232043",115659,"596843052","N"
"companies","232042",115460,"519024037","G"
"love","164316",115320,"569401298","N"
"executive","159342",115240,"545687424","N"
"feel","157737",115181,"597245781","G"
"issues","159351",115073,"564864555","G"
"low","159438",114870,"569544087","G"
"instead","137856",114044,"607853027","G"
"war","221734",113690,"603562880","N"
"site","184949",113629,"495820492","G"
"access","291215",113575,"539626429","N"
"process","160224",113568,"555526666","G"
"leaders","179141",113506,"534743099","G"
"record","166285",113355,"551086728","G"
"comment","151645",113286,"393466142","N"
"david","174617",113259,"583776303","N"
"stop","143444",113228,"589413715","G"
"control","151252",113193,"561360379","N"
"eight","148659",113086,"545049725","G"
"central","158811",112865,"498725985","G"
"federal","189788",112793,"581276767","G"
"bring","139531",112653,"564204391","G"
"forward","170346",112507,"547386072","G"
"thought","142615",112119,"593673383","N"
"received","140052",112079,"516067430","G"
"40","143721",112056,"529590567","G"
"personal","140683",111592,"520082866","G"
"act","156635",111512,"559567561","N"
"wanted","154570",111341,"574178248","G"
"return","140296",111247,"535149346","N"
"nothing","136763",111236,"603933447","G"
"needs","144474",111088,"573182455","G"
"mark","160694",110997,"560556052","G"
"special","158097",110778,"524358997","N"
"19","171190",110646,"463657147","G"
"include","137636",110163,"503120760","G"
"read","157841",109656,"494908283","G"
"global","165974",109481,"494768786","G"
"industry","188429",109328,"523796900","G"
"means","131355",109105,"561284756","G"
"private","160717",109000,"537595459","G"
"capital","168085",108981,"461957523","G"
"2013","156388",108671,"506578759","G"
"street","183307",108609,"558289186","G"
"available","147714",108458,"467904245","G"
"began","135715",108018,"556865532","G"
"course","140430",107907,"565204983","G"
"administration","206738",107891,"517101544","N"
"21","173048",107246,"463105742","G"
"please","195340",106898,"336018400","G"
"bill","250445",106730,"554521991","G"
"short","135863",106636,"551750891","G"
"staff","160923",106462,"515459889","G"
"china","427946",106430,"434893147","PN"
"interest","157451",106274,"525740644","G"
"saw","136047",106157,"526227534","G"
"financial","158686",106039,"490197954","G"
"billion","227974",105936,"487230665","G"
"leave","135799",105424,"528989840","N"
"air","198971",105372,"512274708","G"
"mr","350007",105015,"407552856","G"
"development","168301",104958,"474514762","G"
"hand","136584",104932,"543978571","G"
"follow","121730",104286,"419557066","G"
"board","178486",104130,"488005417","N"
"experience","142394",104037,"542558790","N"
"everyone","130464",103861,"547427672","G"
"matter","133645",103746,"501343196","G"
"term","138885",103678,"510087843","N"
"although","123863",103616,"507661596","G"
"car","227452",103456,"501467267","G"
"care","192461",103336,"543352276","N"
"countries","176189",103294,"469490556","G"
"event","168529",103288,"466435670","G"
"building","161688",103285,"533868924","G"
"22","151526",103167,"458249810","G"
"kind","131867",103081,"558406368","N"
"force","156323",102962,"513803654","N"
"higher","145804",102630,"470425145","G"
"australia","328812",102588,"497388395","PN"
"america","189462",102546,"534638961","N"
"wants","133703",102353,"526127085","G"
"especially","122097",102350,"531126686","G"
"cost","142289",102219,"504128909","N"
"anything","125355",102206,"547840984","G"
"member","135047",102188,"485576869","N"
"currently","121881",102117,"439148066","G"
"bit","129339",101862,"475528072","G"
"played","151652",101836,"475666157","G"
"leading","121581",101492,"503349642","G"
"himself","135565",101447,"532590877","G"
"shot","161595",101344,"482001550","G"
"meet","133019",101263,"503266794","G"
"february","159865",101222,"406594059","G"
"east","155449",100857,"525463618","N"
"problem","140529",100819,"543062021","N"
"everything","126482",100535,"543814415","G"
"economic","150302",100533,"485825535","G"
"data","212028",100429,"453347307","G"
"points","230247",100214,"449500795","N"
"isn","126237",100172,"546840109","G"
"running","134774",100105,"523433776","G"
"body","157589",100012,"469754368","G"
"indian","184444",99612,"352837968","G"
"sign","137159",99208,"450598552","G"
"hope","118729",99197,"497622679","N"
"united states","213161",99065,"479152300","NP"
"turned","119439",98610,"524714294","G"
"inside","135048",98565,"514937908","G"
"research","159663",98547,"478106901","G"
"sent","128144",98531,"459682969","G"
"visit","139006",98454,"474111452","G"
"0","241568",98142,"381620982","G"
"turn","113225",98110,"540815995","N"
"wasn","124324",97829,"530275284","G"
"gave","119507",97681,"491136818","G"
"became","122762",97387,"531821616","G"
"players","208541",97215,"453037611","N"
"rather","117807",97153,"525362819","G"
"watch","144612",97079,"491584707","G"
"secretary","142058",97068,"425799984","N"
"road","168080",97061,"460512757","G"
"question","125423",96867,"528473928","N"
"died","157244",96828,"455452559","G"
"black","168332",96713,"492511185","G"
"wrote","141864",96341,"454171257","G"
"ap","243900",95897,"381963505","G"
"involved","118676",95639,"471537158","G"
"actually","122213",95626,"508853410","G"
"room","154960",95576,"504447221","N"
"potential","113558",95553,"485441560","G"
"cut","120497",95540,"477780397","G"
"december","136644",95456,"400368382","PN"
"hold","114304",95442,"491270439","G"
"23","141471",95173,"402464855","G"
"needed","114524",94910,"495216998","G"
"someone","129485",94877,"499793765","G"
"p","195053",94818,"388145190","G"
"list","141849",94818,"487602494","G"
"popular","119259",94814,"485508147","G"
"bank","237846",94646,"427052204","G"
"takes","118187",94641,"509331417","G"
"stay","112682",94047,"483752054","N"
"brought","112131",93770,"490108968","G"
"union","151101",93743,"423219762","G"
"lives","117744",93668,"513515271","N"
"tv","160004",93653,"437333350","G"
"similar","109415",93625,"468101480","G"
"form","117633",93584,"446290792","G"
"showed","115823",93517,"424915989","G"
"images","194200",93496,"417074126","N"
"fight","132843",93405,"473728022","N"
"terms","117461",93398,"441434718","G"
"human","136071",93312,"486655700","G"
"conference","173320",93201,"426129228","N"
"playing","125029",93065,"459783292","G"
"total","118426",93017,"401240957","G"
"result","107355",92839,"470732975","N"
"bad","121779",92804,"507013891","G"
"price","174202",92645,"437524905","G"
"friends","139101",92110,"478972555","N"
"single","129529",92075,"482778472","G"
"related","114443",91987,"367824523","G"
"28","132251",91875,"388968957","G"
"note","125907",91812,"381216779","N"
"military","158350",91728,"431668910","G"
"delhi","168909",91578,"249471589","PN"
"nine","118076",91203,"441078252","G"
"huge","111369",91133,"465501148","G"
"minutes","141051",91017,"421987020","G"
"games","243741",90978,"388144009","N"
"facebook","198275",90944,"380153272","G"
"obama","231943",90942,"450738527","N"
"technology","160485",90928,"406250346","G"
"food","193587",90915,"482661824","G"
"pm","143257",90752,"303994989","G"
"couple","127815",90643,"452662744","G"
"officer","164520",90584,"397670223","N"
"increase","121520",90575,"407558423","G"
"largest","117016",90517,"410410302","G"
"michael","135340",90482,"482415640","N"
"account","127940",90249,"335105902","N"
"offer","122147",90146,"428139423","G"
"authorities","133991",90116,"374513389","N"
"park","211380",90070,"458811838","G"
"growth","187171",89758,"406500282","G"
"either","104038",89558,"474804314","G"
"view","118245",89500,"448746724","N"
"release","127437",89463,"370500953","N"
"address","111609",89401,"380012994","N"
"previous","109754",89393,"404499032","G"
"chance","115903",89239,"466265896","N"
"living","112764",89064,"494699482","G"
"idea","117962",89009,"494284628","N"
"middle","120177",88851,"478823416","N"
"cent","296169",88683,"355871367","G"
"talk","110719",88637,"473136659","G"
"position","116314",88572,"435052395","N"
"email","143201",88479,"304644117","G"
"500","124029",88390,"407990929","G"
"age","131277",88335,"458762700","N"
"remain","104741",87902,"428697039","G"
"red","128991",87882,"457019674","N"
"associated","118398",87787,"377435609","G"
"network","131630",87761,"410463594","G"
"mother","158134",87639,"457641641","N"
"round","162498",87571,"423361738","N"
"league","178276",87557,"345257385","G"
"above","110129",87517,"429615795","G"
"non","118612",87386,"412828359","G"
"moment","108413",87242,"464527372","G"
"reason","104818",87201,"487406304","N"
"period","126856",87087,"407910829","N"
"helped","107335",87079,"479142517","G"
"27","126364",86945,"385590811","G"
"program","171185",86756,"461110245","N"
"problems","110547",86578,"397020892","N"
"growing","107138",86530,"448859089","G"
"anyone","103376",86508,"452221086","G"
"career","127619",86421,"443577946","N"
"allow","103451",86380,"413940312","G"
"thousands","114421",86289,"468525710","G"
"main","108103",86242,"416748874","G"
"worked","107573",86213,"462141360","G"
"fans","158920",86207,"380562654","G"
"subscribe","87354",86173,"289128895","N"
"trade","183083",86111,"403361153","G"
"reuters","135758",85992,"261418150","G"
"content","154883",85922,"310667088","G"
"lower","116901",85767,"398426305","G"
"investigation","147427",85618,"374929581","N"
"focus","98988",85562,"428317420","N"
"risk","129936",85463,"429457950","N"
"australian","160739",85448,"416985493","G"
"limited","124161",85412,"406093829","G"
"water","202807",85391,"427007335","N"
"tell","108049",85344,"475862686","G"
"project","171331",85326,"416125660","N"
"ground","118369",85213,"434128127","N"
"stand","105902",85101,"471042058","N"
"cannot","111400",85086,"411361462","G"
"tried","103099",85072,"434412155","G"
"step","100783",85068,"449997570","G"
"son","143343",85038,"444459534","G"
"decided","103456",84915,"405069082","G"
"longer","101567",84767,"458923214","G"
"wife","140785",84700,"426138341","G"
"film","243167",84576,"337080806","G"
"legal","122463",84407,"422277286","G"
"district","155774",84349,"351730248","N"
"probably","105549",84320,"463070982","G"
"article","116316",84245,"299445311","N"
"situation","116820",84221,"403018998","N"
"adding","96230",84202,"357730460","G"
"fire","162153",84177,"404375854","N"
"areas","124231",84087,"398270192","N"
"seems","104863",84046,"448642392","G"
"26","121259",84000,"363612001","G"
"themselves","100514",83929,"470238530","G"
"posted","110742",83869,"313943112","G"
"details","105922",83766,"359456414","N"
"james","135755",83561,"455610203","PN"
"create","104977",83532,"435042603","G"
"interview","112220",83524,"407312896","G"
"happened","105569",83492,"428183417","G"
"committee","157880",83276,"389019522","N"
"whole","101591",83255,"468907818","G"
"london","185748",83187,"349952133","N"
"difficult","100283",83147,"435923235","G"
"looks","110228",82981,"449454466","G"
"spent","104354",82844,"463071934","G"
"launched","107481",82798,"369781471","G"
"tax","271198",82753,"408047975","G"
"accused","116445",82551,"365741501","G"
"hospital","157280",82461,"358448466","G"
"pressure","109151",81999,"418976272","G"
"paid","113371",81983,"428793745","G"
"match","169370",81948,"335968976","G"
"changes","114770",81794,"430575178","G"
"reached","93400",81786,"366028821","G"
"anti","128635",81756,"399421625","G"
"father","138427",81745,"433666025","G"
"efforts","102973",81731,"400936222","N"
"remains","98906",81493,"414690868","G"
"town","140526",81395,"439312648","N"
"ready","102852",81311,"418663153","G"
"club","153209",81094,"393074775","N"
"2012","113667",81092,"398765573","G"
"failed","101126",81001,"393566640","G"
"response","103588",80902,"390289036","N"
"met","102920",80847,"396890011","N"
"test","152018",80749,"396504366","N"
"new york","166294",80722,"389611326","PN"
"council","145842",80626,"419665571","N"
"directly","87147",80583,"310025466","G"
"questions","107397",80484,"436030640","G"
"light","103052",80468,"395836305","G"
"june","120132",80406,"362969039","G"
"groups","124348",80377,"415129618","N"
"county","210460",80066,"342030991","N"
"happy","110546",80063,"395445540","G"
"centre","129161",79943,"360428976","PN"
"break","97767",79882,"412462936","G"
"november","106242",79726,"366925057","G"
"performance","117261",79690,"376829491","G"
"region","131613",79689,"353572855","N"
"loss","112829",79665,"396524568","N"
"winning","106328",79642,"392388612","G"
"giving","91732",79501,"406329044","G"
"claims","104687",79450,"390988401","N"
"serious","96949",79380,"407255187","G"
"annual","117320",79282,"383824261","G"
"rate","155416",79164,"383011744","G"
"field","130817",79117,"414866117","N"
"economy","134964",79089,"383345124","G"
"british","120485",78807,"353327887","G"
"phone","138532",78770,"387705705","G"
"congress","218918",78720,"354022197","PN"
"example","96210",78471,"425340953","G"
"29","119191",78264,"338176397","G"
"build","103707",78167,"416710409","G"
"gone","91824",78135,"418651547","G"
"space","149206",77997,"391669353","N"
"60","99217",77954,"391278822","G"
"dead","111360",77863,"371461779","G"
"website","110024",77779,"297677534","N"
"weekend","115490",77620,"379760569","G"
"worth","97329",77491,"403428801","N"
"opportunity","94031",77364,"393006029","N"
"land","140525",77266,"396413642","N"
"vote","139653",77219,"379391205","N"
"impact","102230",77100,"394163777","N"
"revealed","95012",77089,"342667338","G"
"stage","109392",77046,"396546293","G"
"itself","91575",77025,"424834922","G"
"followed","87840",76855,"362052598","G"
"incident","125908",76852,"283714256","N"
"gets","101268",76837,"426153228","G"
"talks","138443",76776,"363088741","G"
"claimed","97465",76746,"325695393","G"
"child","143900",76744,"399713397","G"
"rest","89610",76684,"394634944","N"
"chairman","103778",76522,"346109374","N"
"finally","90776",76339,"418072552","G"
"allowed","94523",76197,"382142148","G"
"immediately","86792",76152,"335674847","G"
"summer","114624",75842,"357603779","N"
"decades","90753",75749,"435445353","N"
"quite","92627",75695,"390145110","G"
"fourth","115277",75663,"336912112","G"
"included","88355",75571,"369693308","G"
"spokesman","99152",75549,"310114320","N"
"goes","93341",75301,"415636080","G"
"opening","99710",75280,"380802739","G"
"results","105048",75278,"346062674","G"
"stories","109161",75266,"348207755","G"
"e","200629",75248,"335788127","G"
"st","165502",75146,"374488450","G"
"player","126440",75098,"353485876","N"
"ended","90630",74932,"371245411","G"
"digital","134565",74849,"331644944","G"
"n","130402",74755,"338915900","G"
"c","160095",74683,"365239709","G"
"reach","86731",74681,"369416213","G"
"fall","90770",74391,"379816903","G"
"updated","87136",74312,"232651451","G"
"ways","91385",74249,"415215622","N"
"significant","87956",74235,"390502815","G"
"raised","91309",74215,"356863471","G"
"date","95178",74147,"301752234","N"
"understand","90375",74142,"393851886","G"
"starting","92389",74091,"369623575","G"
"heard","95188",73920,"390476402","G"
"named","92232",73893,"367348154","G"
"speaking","84095",73836,"340632944","G"
